capital,state,lon,lat
Aguascalientes,Aguascalientes,-102.2916,21.8853
Mexicali,Baja California,-115.4683,32.6245
La Paz,Baja California Sur,-110.3128,24.1426
San Francisco de Campeche,Campeche,-90.5349,19.8301
Saltillo,Coahuila,-100.9864,25.438
Colima,Colima,-103.7271,19.2452
Tuxtla Gutierrez,Chiapas,-93.1167,16.7569
Chihuahua,Chihuahua,-106.0889,28.6353
Ciudad de Mexico,Ciudad de Mexico,-99.1332,19.4326
Durango,Durango,-104.6532,24.0277
Guanajuato,Guanajuato,-101.2574,21.019
Chilpancingo,Guerrero,-99.5,17.55
Pachuca,Hidalgo,-98.7624,20.1011
Guadalajara,Jalisco,-103.3496,20.6597
Toluca,Estado de Mexico,-99.6557,19.2826
Morelia,Michoacan,-101.194,19.702
Cuernavaca,Morelos,-99.2342,18.9242
Tepic,Nayarit,-104.8946,21.5085
Monterrey,Nuevo Leon,-100.3161,25.6866
Oaxaca,Oaxaca,-96.7266,17.0732
Puebla,Puebla,-98.2063,19.0414
Queretaro,Queretaro,-100.3899,20.5888
Chetumal,Quintana Roo,-88.3038,18.5001
San Luis Potosi,San Luis Potosi,-100.9855,22.1565
Culiacan,Sinaloa,-107.394,24.8091
Hermosillo,Sonora,-110.9559,29.0729
Villahermosa,Tabasco,-92.9303,17.9892
Ciudad Victoria,Tamaulipas,-99.1456,23.7369
Tlaxcala,Tlaxcala,-98.239,19.3182
Xalapa,Veracruz,-96.9102,19.5438
Merida,Yucatan,-89.5926,20.9674
Zacatecas,Zacatecas,-102.5832,22.7709
