PC1,PC2,capital,state,lon,lat
-19.31613601073538,-8.91629722906144,Aguascalientes,Aguascalientes,-102.2916,21.8853
13.359450558484038,-27.90319487237542,Mexicali,Baja California,-115.4683,32.6245
23.852672701486608,-14.173290964108508,La Paz,Baja California Sur,-110.3128,24.1426
44.353274921460546,8.865469138186915,San Francisco de Campeche,Campeche,-90.5349,19.8301
5.961644704351023,-33.86049136199782,Saltillo,Coahuila,-100.9864,25.438
-2.91368117148169,15.962989079120575,Colima,Colima,-103.7271,19.2452
18.094158184036534,20.54753981747788,Tuxtla Gutierrez,Chiapas,-93.1167,16.7569
-11.909369576151843,-22.24480284213406,Chihuahua,Chihuahua,-106.0889,28.6353
-17.955438678844928,8.752756491741867,Ciudad de Mexico,Ciudad de Mexico,-99.1332,19.4326
-12.067992510328565,-7.583074801674599,Durango,Durango,-104.6532,24.0277
-20.41696582095454,-1.2730808322151779,Guanajuato,Guanajuato,-101.2574,21.019
-5.517774398004382,17.764168728991926,Chilpancingo,Guerrero,-99.5,17.55
-12.594406442653124,7.811076861115135,Pachuca,Hidalgo,-98.7624,20.1011
-17.10590933264588,9.217044130422343,Guadalajara,Jalisco,-103.3496,20.6597
-18.8225085259019,9.66544603661576,Toluca,Estado de Mexico,-99.6557,19.2826
-18.25778958997125,10.570960707273185,Morelia,Michoacan,-101.194,19.702
-17.50167758542493,11.292992910129376,Cuernavaca,Morelos,-99.2342,18.9242
-2.9983431264045772,8.203486387756248,Tepic,Nayarit,-104.8946,21.5085
8.448904052484,-31.563052038171158,Monterrey,Nuevo Leon,-100.3161,25.6866
-2.660108131671912,16.61392661064467,Oaxaca,Oaxaca,-96.7266,17.0732
-12.933331449621338,11.655541994094614,Puebla,Puebla,-98.2063,19.0414
-20.034510920290668,2.1989670142076134,Queretaro,Queretaro,-100.3899,20.5888
41.08380002489153,8.69335848734122,Chetumal,Quintana Roo,-88.3038,18.5001
-14.384483216662488,-14.737913430668169,San Luis Potosi,San Luis Potosi,-100.9855,22.1565
2.3012652921072023,3.9244845525988206,Culiacan,Sinaloa,-107.394,24.8091
-4.449365378167616,-20.921233023688806,Hermosillo,Sonora,-110.9559,29.0729
28.01412116581416,16.70899655537569,Villahermosa,Tabasco,-92.9303,17.9892
18.226568595171504,-19.418526994869143,Ciudad Victoria,Tamaulipas,-99.1456,23.7369
-12.112419235217136,10.697063496892076,Tlaxcala,Tlaxcala,-98.239,19.3182
11.09030966216609,17.502120956316187,Xalapa,Veracruz,-96.9102,19.5438
45.33904817120224,2.8672883343029882,Merida,Yucatan,-89.5926,20.9674
-16.17300693252136,-16.920719899640776,Zacatecas,Zacatecas,-102.5832,22.7709
